"","Measure","Attribute","Value","Category","Date"
"362","Oceangoing Transits","Daily Average","32.57","Arrivals",2018-11-01
"363","Canal Waters Time (hours)","Daily Average","24.52","Arrivals",2018-11-01
"364","In-Transit Time (hours)","Daily Average","10.23","Arrivals",2018-11-01
"365","Arrivals","High","41","Arrivals",2018-11-01
"366","Oceangoing Transits","High","38","Arrivals",2018-11-01
"367","Canal Waters Time (hours)","High","36.14","Arrivals",2018-11-01
"368","In-Transit Time (hours)","High","12.06","Arrivals",2018-11-01
"369","Arrivals","Low","21","Arrivals",2018-11-01
"370","Oceangoing Transits","Low","26","Arrivals",2018-11-01
"371","Canal Waters Time (hours)","Low","16.33","Arrivals",2018-11-01
"372","In-Transit Time (hours)","Low","8.12","Arrivals",2018-11-01
"373","Arrivals","Daily Average","34.10","Arrivals",2019-09-01
"374","Oceangoing Transits","Daily Average","34.17","Arrivals",2019-09-01
"375","Canal Waters Time (hours)","Daily Average","25.64","Arrivals",2019-09-01
"376","In-Transit Time (hours)","Daily Average","10.36","Arrivals",2019-09-01
"377","Arrivals","High","55","Arrivals",2019-09-01
"378","Oceangoing Transits","High","40","Arrivals",2019-09-01
"379","Canal Waters Time (hours)","High","34.06","Arrivals",2019-09-01
"380","In-Transit Time (hours)","High","12.53","Arrivals",2019-09-01
"381","Arrivals","Low","19","Arrivals",2019-09-01
"382","Oceangoing Transits","Low","30","Arrivals",2019-09-01
"383","Canal Waters Time (hours)","Low","18.11","Arrivals",2019-09-01
"384","In-Transit Time (hours)","Low","8.80","Arrivals",2019-09-01
"385","Arrivals","Daily Average","33.68","Arrivals",2017-10-01
"386","Oceangoing Transits","Daily Average","34.03","Arrivals",2017-10-01
"387","Canal Waters Time (hours)","Daily Average","32.86","Arrivals",2017-10-01
"388","In-Transit Time (hours)","Daily Average","11.69","Arrivals",2017-10-01
"389","Arrivals","High","48","Arrivals",2017-10-01
"390","Oceangoing Transits","High","39","Arrivals",2017-10-01
"391","Canal Waters Time (hours)","High","44.14","Arrivals",2017-10-01
"392","In-Transit Time (hours)","High","14.90","Arrivals",2017-10-01
"393","Arrivals","Low","19","Arrivals",2017-10-01
"394","Oceangoing Transits","Low","30","Arrivals",2017-10-01
"395","Canal Waters Time (hours)","Low","21.86","Arrivals",2017-10-01
"396","In-Transit Time (hours)","Low","9.46","Arrivals",2017-10-01
"397","Arrivals","Daily Average","32.73","Arrivals",2017-11-01
"398","Oceangoing Transits","Daily Average","33.13","Arrivals",2017-11-01
"399","Canal Waters Time (hours)","Daily Average","25.83","Arrivals",2017-11-01
"400","In-Transit Time (hours)","Daily Average","10.75","Arrivals",2017-11-01
"401","Arrivals","High","44","Arrivals",2017-11-01
"402","Oceangoing Transits","High","38","Arrivals",2017-11-01
"403","Canal Waters Time (hours)","High","42.64","Arrivals",2017-11-01
"404","In-Transit Time (hours)","High","12.31","Arrivals",2017-11-01
"405","Arrivals","Low","25","Arrivals",2017-11-01
"406","Oceangoing Transits","Low","25","Arrivals",2017-11-01
"407","Canal Waters Time (hours)","Low","17.64","Arrivals",2017-11-01
"408","In-Transit Time (hours)","Low","9.29","Arrivals",2017-11-01
"409","Arrivals","Daily Average","36.06","Arrivals",2019-10-01
"410","Oceangoing Transits","Daily Average","36.68","Arrivals",2019-10-01
"411","Canal Waters Time (hours)","Daily Average","32.95","Arrivals",2019-10-01
"412","In-Transit Time (hours)","Daily Average","11.85","Arrivals",2019-10-01
"413","Arrivals","High","46","Arrivals",2019-10-01
"414","Oceangoing Transits","High","42","Arrivals",2019-10-01
"415","Canal Waters Time (hours)","High","47.78","Arrivals",2019-10-01
"416","In-Transit Time (hours)","High","14.52","Arrivals",2019-10-01
"417","Arrivals","Low","27","Arrivals",2019-10-01
"418","Oceangoing Transits","Low","30","Arrivals",2019-10-01
"419","Canal Waters Time (hours)","Low","23.40","Arrivals",2019-10-01
