"","Measure","Attribute","Value","Category","Date"
"165","Vessels of less than 91’ beam","Percentage","22.07","Oceangoing Transits",2019-04-01
"166","Vessels 91’ beam to under 107’ beam","Percentage","56.76","Oceangoing Transits",2019-04-01
"167","Neopanamax Vessels (107’ beam and over)","Percentage","21.17","Oceangoing Transits",2019-04-01
"168","Total:","Percentage","100","Oceangoing Transits",2019-04-01
"169","Vessels of less than 91´ beam","Total","237","Oceangoing Transits",2017-04-01
"170","Vessels 91´ beam to under 107’ beam","Total","617","Oceangoing Transits",2017-04-01
"171","Neopanamax Vessels (beam107’ and over)","Total","162","Oceangoing Transits",2017-04-01
"172","Total:","Total","1016","Oceangoing Transits",2017-04-01
"173","Vessels of less than 91´ beam","Daily Average","7.90","Oceangoing Transits",2017-04-01
"174","Vessels 91´ beam to under 107’ beam","Daily Average","20.57","Oceangoing Transits",2017-04-01
"175","Neopanamax Vessels (beam107’ and over)","Daily Average","5.40","Oceangoing Transits",2017-04-01
"176","Total:","Daily Average","33.87","Oceangoing Transits",2017-04-01
"177","Vessels of less than 91´ beam","Percentage","23.33","Oceangoing Transits",2017-04-01
"178","Vessels 91´ beam to under 107’ beam","Percentage","60.73","Oceangoing Transits",2017-04-01
"179","Neopanamax Vessels (beam107’ and over)","Percentage","15.94","Oceangoing Transits",2017-04-01
"180","Total:","Percentage","100","Oceangoing Transits",2017-04-01
"181","Vessels of less than 91´ beam","Total","229","Oceangoing Transits",2017-05-01
"182","Vessels 91´ beam to under 107’ beam","Total","591","Oceangoing Transits",2017-05-01
"183","Neopanamax Vessels (beam107’ and over)","Total","170","Oceangoing Transits",2017-05-01
"184","Total:","Total","990","Oceangoing Transits",2017-05-01
"185","Vessels of less than 91´ beam","Daily Average","7.39","Oceangoing Transits",2017-05-01
"186","Vessels 91´ beam to under 107’ beam","Daily Average","19.06","Oceangoing Transits",2017-05-01
"187","Neopanamax Vessels (beam107’ and over)","Daily Average","5.48","Oceangoing Transits",2017-05-01
"188","Total:","Daily Average","31.94","Oceangoing Transits",2017-05-01
"189","Vessels of less than 91´ beam","Percentage","23.13","Oceangoing Transits",2017-05-01
"190","Vessels 91´ beam to under 107’ beam","Percentage","59.70","Oceangoing Transits",2017-05-01
"191","Neopanamax Vessels (beam107’ and over)","Percentage","17.17","Oceangoing Transits",2017-05-01
"192","Total:","Percentage","100","Oceangoing Transits",2017-05-01
"193","Vessels of less than 91’ beam","Total","191","Oceangoing Transits",2019-05-01
