"","Measure","Attribute","Value","Category","Date"
"659","Neopanamax Vessels (107’ beam and over)","Percentage","30.06%","Oceangoing Transits",2021-09-01
"660","Total:","Percentage","100.00%","Oceangoing Transits",2021-09-01
"661","Vessels of less than 91’ beam","Total","171","Oceangoing Transits",2020-11-01
"662","Vessels 91’ beam to under 107’ beam","Total","592","Oceangoing Transits",2020-11-01
"663","Neopanamax Vessels (107’ beam and over)","Total","287","Oceangoing Transits",2020-11-01
"664","Total:","Total","1,050","Oceangoing Transits",2020-11-01
"665","Vessels of less than 91’ beam","Daily Average","5.70","Oceangoing Transits",2020-11-01
"666","Vessels 91’ beam to under 107’ beam","Daily Average","19.73","Oceangoing Transits",2020-11-01
"667","Neopanamax Vessels (107’ beam and over)","Daily Average","9.57","Oceangoing Transits",2020-11-01
"668","Total:","Daily Average","35.00","Oceangoing Transits",2020-11-01
"669","Vessels of less than 91’ beam","Percentage","16.29","Oceangoing Transits",2020-11-01
"670","Vessels 91’ beam to under 107’ beam","Percentage","56.38","Oceangoing Transits",2020-11-01
"671","Neopanamax Vessels (107’ beam and over)","Percentage","27.33","Oceangoing Transits",2020-11-01
"672","Total:","Percentage","100.00","Oceangoing Transits",2020-11-01
"673","Vessels of less than 91’ beam","Total","187","Oceangoing Transits",2021-10-01
"674","Vessels 91’ beam to under 107’ beam","Total","593","Oceangoing Transits",2021-10-01
"675","Neopanamax Vessels (107’ beam and over)","Total","281","Oceangoing Transits",2021-10-01
"676","Total:","Total","1,061","Oceangoing Transits",2021-10-01
"677","Vessels of less than 91’ beam","Daily Average","6.03","Oceangoing Transits",2021-10-01
"678","Vessels 91’ beam to under 107’ beam","Daily Average","19.13","Oceangoing Transits",2021-10-01
"679","Neopanamax Vessels (107’ beam and over)","Daily Average","9.06","Oceangoing Transits",2021-10-01
"680","Total:","Daily Average","34.23","Oceangoing Transits",2021-10-01
"681","Vessels of less than 91’ beam","Percentage","17.62","Oceangoing Transits",2021-10-01
"682","Vessels 91’ beam to under 107’ beam","Percentage","55.89","Oceangoing Transits",2021-10-01
"683","Neopanamax Vessels (107’ beam and over)","Percentage","26.48","Oceangoing Transits",2021-10-01
"684","Total:","Percentage","100.00","Oceangoing Transits",2021-10-01
"685","Vessels of less than 91’ beam","Total","222","Oceangoing Transits",2021-11-01
"686","Vessels 91’ beam to under 107’ beam","Total","616","Oceangoing Transits",2021-11-01
"687","Neopanamax Vessels (107’ beam and over)","Total","296","Oceangoing Transits",2021-11-01
"688","Total:","Total","1,134","Oceangoing Transits",2021-11-01
"689","Vessels of less than 91’ beam","Daily Average","7.40","Oceangoing Transits",2021-11-01
"690","Vessels 91’ beam to under 107’ beam","Daily Average","20.53","Oceangoing Transits",2021-11-01
"691","Neopanamax Vessels (107’ beam and over)","Daily Average","9.87","Oceangoing Transits",2021-11-01
"692","Total:","Daily Average","37.80","Oceangoing Transits",2021-11-01
"693","Vessels of less than 91’ beam","Percentage","19.58","Oceangoing Transits",2021-11-01
"694","Vessels 91’ beam to under 107’ beam","Percentage","54.32","Oceangoing Transits",2021-11-01
"695","Neopanamax Vessels (107’ beam and over)","Percentage","26.10","Oceangoing Transits",2021-11-01
"696","Total:","Percentage","100.00","Oceangoing Transits",2021-11-01
